Project # (internal) ,Title,Activity area,Programme,Staff Project Lead,Short Description,Long Description,Outcomes ,Links,Partners,Other Staff Involved,Tags
203125,Mountain Waste Management Outlook,,,,,"The International Environmental Technology Centre (IETC) is a branch of UNEP’s Division of Technology, Industry and Economics (DTIE), and is located in Osaka, Japan. IETC promotes and implements environmentally sound technologies, particularly for developing countries. It was established pursuant to decision 16/34 adopted by UNEP Governing Council in 1991. Since 2011, IETC has focused on waste management issues. The UNEP Governing Council of February 2013, in its decision GC 27/12 on Chemicals and Waste Management has requested UNEP “to develop a global outlook of challenges, trends and policies in relation to waste prevention, minimization and management, taking into account the materials life cycle, subject to the availability of extra-budgetary resources and in consultation with Governments and stakeholders, building on available data, best practices and success stories, taking into account the Global Chemicals Outlook and any other relevant initiatives and taking care not to duplicate existing information, to provide guidance for national policy planning.” IETC, in collaboration with the International Solid Waste Association (ISWA), took the lead on this initiative; aiming to develop the Global Waste Management Outlook as a tool to provide an authoritative overview and analysis of policy instruments and financing models, and recommendations for action. The Outlook was developed through a two year multi-stakeholder process starting with preparatory consultations, initiation of the steering committee and the identification of the stakeholder group, and finally published in September 2015. GRID-Arendal has been contracting by UNEP as an implementing partner (IP) to lead the production of the Global Mountain Waste Outlook according to the following outputs and deliverables mentioned below.","Preparatory consultations including setting up of the team (lead authors and experts/contributors) ? Nomination of lead authors and further key experts/contributors to be involved in the outlook process ? Defined Terms of Reference and set-up of contracts with lead authors and experts/contributors to be involved ? Designed methodology in close collaboration with the lead authors and team ?	Elaborated chapters outline developed together with lead authors ?	Defined content of case studies ? Undertaken Regional e-consultations for the development of the content ? Develop (limited) first draft text including draft case studies based on the methodology to be internally reviewed by UNEP and steering group	According to GRID's Strategic Plan 2014-2017, this project: - addresses emerging environmental issues - Strategic direction supporting transition to green economy - developing a clear brand - capacity building and assessment work - increasing GRID's focus on specific issues including mineral extractive industries (in mountains) - builds portfolio of Mountain projects and links to Environmental crime programme	UNEP PoW 2014-2015/16-17, Sub-programme: Chemicals and waste Focus on environmental crime for Norway",,,,
205031,MASTREC,,,,,"Project objective is to demonstrate MArine and coastal satellite Services to TRack Environmental Crime activities (MASTREC) relies then on this experience and on a partnership with GRID-Arendal, a centre collaborating with UNEP and INTERPOL in the on-going Environmental Crime project LEAF, bringing its unique capability to capture the international user requirements, explore service uptake to other sectors or terrestrial parts of the traffic routes, and promote the service results.","A strong interest for these new MASTREC services arises then from the illegal logging and forest crime in general. Use of such services for illegal fishing surveillance is also of high interest; however it has already been demonstrated in existing (CLS service in Kerguelen example) or on-going projects (MARISS and EMSA Maritime Security services). The development of illegal logging EO based services can also rely of the existing analysis performed under an End User (INTERPOL) project initiative called LEAF, and as reported in the consolidated User Requirement included in Annex C. The proposed demonstrations of MASTREC EO services will then cover as a priority subsector the Forest part of the Environmental Crime. Extensions to other subsectors (fisheries, e-waste) of marine and coastal services will however be addressed during the project, as part of a “service uptake” task. Extension to terrestrial services will also be considered within this task, to address Environmental Crime from an end-to-end perspective (from resource extraction to derived product delivery in destination countries), taking care of the status of past G-MOSAIC Security Services to be deployed within Copernicus framework.

Environmental Crime is one of the four strategic areas of GA. Environmental Crime is mentioned in the Norwegian Government White Paper UNEP has the Environmental Crime program under the Environmental Governance, Rule of Law. Illegal Fisheries are the FAO program",,,,
205032,Illegal mining crime,,,,,"Illegal mining is identified as one of the rapidly rising threat to the environment, to revenues from natural resources, to state security, and to sustainable development. Illegal extraction and trade in minerals (mining) has been globally estimated as annual loos of resources at 12–48 billion. In this framework GRID is proposing to develop a publication with objective to synthesis main challenges around illegal mining, seek for inter-linkages with other crime activities, and possibly evaluate losses of illegal mining crime.","A publication on illegal mining crime.

The project will support Sustainable Development Goals. Particularly SDG goals on poverty elimination, healthy life and promote well being, and not least measures on environmental protection. GRID´s strategic direction on Environmental Crime.",,,,
206098,10YFP- Consumption and Production,,,,,"This SSFA contributes to UNEP’s Programme of Work on Resource Efficiency, project 613.1: Secretariat Functions and Services for the implementation of the 10-Year Framework of Programmes (10YFP) on Sustainable Consumption and Production (SCP). The 10YFP is a global framework for action to accelerate the shift towards SCP in both developed and developing countries. The following communication goals were highlighted: -","Foster a clear understanding of SCP principles and benefits, and promote a widespread awareness of the urgency and imperative to shift to SCP if the global community is to achieve inclusive development while averting environmental degradation and resource depletion; - Create a strong, positive recognition of the 10YFP as the global platform with the intergovernmental mandate and as the leading initiative on SCP worldwide in the context of the 2030 Agenda for Sustainable Development and SDGs, highlighting the scope and scale of the partnerships it entails and reaching out to policy makers, business leaders and the general public; -

Promote engagement in the 10YFP through stakeholder participation in the programmes, contribution to the Global SCP Clearinghouse, and continuing creation and implementation of SCP initiatives; - Provide the Secretariat and the rest of the main stakeholders with the necessary products, tools and key messages to communicate 10YFP to external stakeholders in a consistent manner. UNEP, acting as the Secretariat of the 10YFP, and GRID-ARENDAL are entering into this SSFA with the overall objective of implementing this communication strategy through collaborative design, targeted outreach and communication activities as well as through the optimization of the Global SCP Clearinghouse. The goal is to increase the coherence of the 10YFP messages visibility communication actions and outputs with a view of increasing the visibility of the 10YFP among key target audiences – donor community, governments and other stakeholders – as well as to facilitate the expansion of the global “10YFP community” in order to catalyse collective impact for SCP.	GRID's Economy Initiative has numerous links to the GRID Strategic Plan, including: •	Focus on building a portfolio of larger-term projects •	Increase visibility of GRID’s Green Economy In-house Capacity •	Increase cooperation with UN organizations, including a variety of UNEP units • Cooperate with GRID’s New-Media Lab to promote Green Economy product line and promote it in New/Social media venues	The role of the 10YFP has been highlighted in the new development framework - the 2030 Agenda for Sustainable Development recently adopted within the UN Sustainable Development Summit held from 25 to 27 September 2015 in New York. The core of this agenda is represented by the Sustainable Development Goals (SDGs) – wherein a stand-alone goal on SCP (Goal 12) states the implementation of the 10YFP as its first target (12.1).",,,,
205041,Organized environmental crime in EECCA,,,,,"The Assessment of the Organized environmental crime in EECCA (Eastern Europe, Caucasus and Central Asia). The report will analyze the scope, structure and geography of the organized environmental crime in the 3 regions and five areas: illegal fisheries, logging, mining, hazardous waste and wildlife trade and poaching. The main clients are UN, UNEP, Government of Norway, general pubic. The publication will be produced jointly by RHIPTO (Christian Nellemann) and GA and disseminated to stakeholders.","Better understanding of the scope, structure and geography of the organized environmental crime in the EECCA, dissemination of outcomes to stakeholders leading to policy actions.

Environmental Crime is one of the four GA strategic areas. Environmental Crime is mentioned in the Norwegian Government White Paper UNEP has the Environmental Crime program under the Environmental Governance, Rule of Law, supported by the Government of Norway",,,,
201204,World Ocean Assessment outreach,,,,,The goal of the project is to prepare promotional and communication products highlighting the findings of the World Ocean Assessment (WOA) report.,"The project will promote the UN Regular Process for gobal reporting and assessment of the state of the marine environment. WOA links to many aspects of the strategic plan, including: - Emphasize synergies that draw on expertise across programme areas. - Strengthen our networks and enhance partnerships. - Grow our potential to bring stakeholders together to enable environmental solutions to be found. - Increase cooperation with other UN organisations in fulfilling the goals of the Rio+20 process. The activity is related to UNEP's subprogramme 7: Environment Under Review under the projec t Global Integrated Environment and Outlook assessment reports",,,,
205042,Pan-European Biodiversity Platform,,,,,GA agreed to co-operate with respect to the implementation of UNEP’s Ecosystem Management sub-programme in Europe and supporting the Secretariat of the Pan-European Biodiversity Platform. The overall objectives of UNEP’s Ecosystem Management sub-programme in Europe and the Pan-European Biodiversity Platform are: -,"Support the Secretariat of the Pan-European Biodiversity Platform and assist in the implementation of the Platform’s work programme 2014-2017, the implementation of activities supporting all biodiversity-related Conventions and promoting synergies between them, as well as providing support to common country programming processes to strengthen the mainstreaming of environmental sustainability and multilateral environmental agreements’ priorities in the Pan-European region - 

Ensure timely delivery of inputs for the implementation of the Pan-European 2020 Strategy for Biodiversity and provide support to coordinate budget preparations, implementation of planned expenditures and follow-up for ecosystem management projects and activities. Supporting function to the Ecosystems Management regional subprogramme coordinator for Europe and will be process oriented.	Yes	UNEP’s Ecosystem Management sub-programme; in Europe and supporting the Secretariat of the Pan-European Biodiversity Platform.",,,,
207738,UNEP IEA Guidelines,,,,,"The practice of integrated environmental assessment (IEA) has evolved significantly since the last set of guidance which was developed by UNEP in 2007. Demands from governments have meant that IEA’s are more policy relevant, interactive and understandable by the general public. Moreover, there are additional demands for rapid and thematic assessments which may not typically undergo the same level of rigour as a full IEA. Demands from IEA practitioners are also increasing in terms of the depth of state of the environment analysis, the expansiveness of the policy response review and the scope and accuracy of the environmental outlook. The IEA community also is pushing to compile indicators-based assessments in order to provide the ability of near-real-time tracking of environmental impacts and responses. In addition, the more traditional Demand-Pressure-State-Impact-Response (DPSIR) model for conducting IEA is being replaced by a more holistic and fluid assessment approach which recognizes that clear separation between these concepts is no longer possible. Finally, environmental goals are now being more actively linked to social and economic goals within countries and regions. The recognition that the economic and social dimensions of sustainable development cannot be realistically separated from the environmental dimensions is permeating the political consciousness of many governments, be they from developed or developing countries. The recent adoption of the 2015 Sustainable Development Goals is a clear indication of the drive towards greater integration of these three pillars of sustainable development. This project links to MFA 5a-op2.","UNEP/DEWA requires GRID-Arendal to issue a call for expertise and manage a process towards the development of updated Integrated Environmental Assessment Guidelines. More specifically the work will include managing a group of experts towards compiling recent works on Integrated Environmental Assessment (IEA) into a revised set of draft guidelines for conducting global, regional, thematic and rapid assessments. The revised guidelines should build on and consider the following: 

• The UNEP/IISD Integrated Environmental Assessment Training Manual (2007) • The Mercator Institute report on The Future of Global Environmental Assessment Making (Oct. 2014) • Recent UNEA documents outlining changes in IEA approaches • Experience from recent IEA, thematic and rapid assessment processes • Inputs from the GEO-6 Assessment Methodologies, Data and Information Group (AMDG) • Other relevant materials (e.g. IPCC, IPBES, etc.) GRID-Arendal must also be available to respond to comments from the AMDG, and the Scientific Advisory Panel (SAP) as well as UNEP staff and provide revisions based on this input. It is anticipated the work will occur in three main steps: 1.	Literature review and compilation of existing findings on new methods for global, regional, thematic and rapid IEAs. 2.	Interviews with IEA practitioners and compilation of new methods, concepts and approaches into the draft guidelines documents. 3.	Incorporation of substantive comments from AMDG, HLG, SAP and UNEP review into a final document. 4.	Incorporation of IEA guidelines user comments after 5 month road test of the draft guidelines.	In support of UNEP PoW	Project document 712.1 of UNEP’s programme of work highlights the following deliverables: •	A review of best practices will be undertaken – from within UNEP and other organisations and assessments processes such as IPCC, IPBES, MA, IAC, ICSU and IRP – and a set of transparent procedures developed, particularly with regards to administrative processes, the selection of participants, the inclusion of diverging viewpoints, as well as government and peer reviews to support a wide range of environmental assessments that UNEP conducts in order to ensure that they are of the highest quality and have maximum impact. This work, along with the knowledge and experience of recognized experts, will form the basis of the proposed assessment procedures which will be provided to Member States for review and comment in time for the preparation of GEO-6. This component will be supported by additional work streams (outside of this project), namely the GEO-5 terminal evaluation and the collaborative initiative to review of large-scale IEA’s (SP7 Project 44P1).",,,,
207740,UNEP National Air Quality Monitoring,,,,,"UNEP and GRID-Arendal are entering into this SSFA with the overall objective of co-operating on providing assistance with the deployment of UNEP Air Quality monitoring units in Nairobi as proof-of-concept for Member States who wish to have low-cost air quality monitoring networks. This capability is needed by countries in order to build up a first mapping/assessment of pollutants for eventual decision making and emissions and health-related policy actions. Grid-Arendal is providing financial management services for this project; the technical work will be carried out by consultants from Alphasense, a UK-based technology company. An additional component of this agreement is to provide support to GEO related activities including extra support for the UNEP IEA Guidelines project.","Six air quality instrument packages will be installed in Nairobi to monitor air quality in real-time for approximately 10 days prior to the start of UNEA-2 Conference on 23 May, 2016. The data will be reported upon by consultants from Alphasense, a commercial entity based in the UK who will provide the instrument packages as specified by UNEP. The main outcome of the project is that member countries attending UNEA-2 are able to understand and appreciate the value of the air quality instrument demonstration and can see the potential applications in their own countries. 

Links to many aspects of the strategic plan, including: ? Strengthen our support to environmental conventions and cross-border cooperation. ? Emphasize synergies that draw on expertise across programme areas. ?	Support the world’s transition to a ‘green economy’. ?	Strengthen our networks and enhance partnerships. ?	Grow our potential to bring stakeholders together to enable environmental solutions to be found. ? Increase cooperation with other UN organisations in fulfilling the goals of the Rio+20 process.	Keeping the environment under review - UNEP's key goal.",,,,
201138,International Resource Panel Simpleshow,,,,,The project will develop an explainer video on why natural resource management matters and the role of the International Resource Panel.,"The video produced will be used for awareness raising purposes at UNEA-2 and beyond.

3.1a) Ensuring that we continue to produce high impact visual and other products by using the latest tools and technologies and strengthening our core visual aid competencies. 3.1 c) Developing a clear brand. Our aim will be to make GRID-Arendal’s products instantly recognizable, and to ensure that the organisation, and what it stands for, is known far more widely than today.", ,,,
207732,West Africa - Continuing the ECS cooperation,,,,,"The projects main goal is to continuing the Extended Continental Shelf capacity and cooperation network between the 7 West Africa states. There will be a technical workshop in West Africa to re-examine the joint submission, update with recent data and maintain national-level skills. For training materiel, a database of recommendations given by the Commission of the Limits of the Continental Self (CLCS) to 2016 is being developed and populated. Also, an update of the Shelf publication* to include decisions made by the CLCS to 2016 is planned.",The technical capacity and cooperation built in West Africa over the last 6 years will be continued in order to secure rights to marine resources through formalization of maritime boundaries. National experts will have access to a synthesis of the rationale of CLCS Recommendations made to date which will allow integration of precedents based on decisions that are relevant for their respective submissions. Through the Recommendation database/webside and the updated shelf publication the technical staff from states are updated with information on Recommendations and provided a broad overview of the development in and importance of maritime boundaries.,,,,
,,,,,,,UNGA resolution calling on UNEP via its GRID network to provide technical and data assistance to developing countries working to fulfill requirements under UNCLOS Article 76. The Norwegian,,,,
